year,geo_code,geo_level,FSA,GNR,GNR_LF,data_quality_flag,alt_geo_code,pop_2016,num_private_dwellings,num_dwellings_occupied,pct_age_0_14,pct_age_15_64,pct_age_64_plus,median_age,avg_household_size,avg_census_family_size,median_income_recipients,median_income_household,pct_LIM_AT,pct_LIM_AT_age_under18,pct_LIM_AT_age_under6,pct_LIM_AT_age_18_64,pct_LIM_AT_age_65_plus,pct_participation_rate,pct_employed,pct_unemployed,pct_cdn_citizens,pct_immigrants,pct_aboriginal,pct_visible_minority,pct_home_owners,pct_home_rent,pct_education_none,pct_education_uni_higher,pct_non_movers
2016,T8X,2,T8X,3.7,6.4,0,01T8X,19287,7214,6645,25.5,69.2,5.3,31.4,2.9,3.1,56080,129015,4.8,6.7,6,3.9,5,81,73.9,8.7,0.952891913,0.092670157,0.082439152,0.093692751,0.826415094,0.174339623,0.115895557,1.442687747,0.833200107
2016,T9A,2,T9A,4.4,4.7,0,01T9A,15660,6736,6236,18.5,62.1,19.5,42,2.4,2.8,35056,70968,12.4,17.4,21.5,10.9,11.2,66.2,60.3,8.9,0.946847144,0.101980198,0.125784087,0.094059406,0.681782021,0.318217979,0.183544304,0.74137931,0.833611204
2016,T9C,2,T9C,5.4,6.8,0,01T9C,6831,3219,2866,16.9,61.9,21.2,44.4,2.3,2.8,37547,72661,11,14.3,17.9,9,13.9,66.4,61.1,8,0.964820359,0.059925094,0.061423221,0.047155689,0.72193437,0.279792746,0.143669986,1.02970297,0.875757576
2016,T9E,2,T9E,3.8,5.2,0,01T9E,31710,13006,11968,21.2,66.4,12.3,35.3,2.6,2.9,46213,101754,6.8,9,8.5,5.6,9.2,73.7,66.9,9.2,0.943686828,0.101877106,0.052783571,0.094176159,0.74643157,0.253988245,0.114952463,1.34085213,0.830124021
2016,T9G,2,T9G,3.2,3.7,0,01T9G,7159,2757,2634,20.8,66.1,13.1,38.3,2.7,2.9,45223,100636,6.9,10.1,7.1,5.6,6.4,73.2,66,9.9,0.962962963,0.066387142,0.075524476,0.049615653,0.775471698,0.222641509,0.112359551,1.011111111,0.899929528
2016,T9H,2,T9H,16.2,22.7,1122,01T9H,26732,12129,10054,16.6,79.6,3.8,34.8,2.6,2.9,67294,170667,5.6,9.1,9.4,4.6,7,77.2,71.6,7.2,0.858275146,0.260803925,0.100773731,0.318361955,0.590065228,0.398896136,0.094725214,1.967930029,0.814082886
2016,T9J,2,T9J,17.8,58.5,1051,01T9J,3630,1780,1382,17.6,79.6,2.8,34.3,2.6,2.9,75200,180429,4.8,7.4,7.9,3.9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,T9K,2,T9K,13,16.9,1112,01T9K,39305,15844,13541,22.1,76.1,1.8,32.1,2.9,3.1,89712,216260,3.2,4.5,4.4,2.7,4.3,78.8,73.8,6.3,0.910884787,0.208529599,0.064926798,0.24837683,0.739963168,0.260036832,0.051643192,4.935606061,0.859482647
2016,T9M,2,T9M,5.7,9.4,101,01T9M,18253,7892,6716,23.1,70.2,6.7,31.7,2.7,3,52434,110208,5.9,9.4,9.4,4.5,5.2,78.9,71.7,9.1,0.948625382,0.072202166,0.147181339,0.092196612,0.684210526,0.278724981,0.108925144,1.462555066,0.833616299
2016,T9N,2,T9N,5,7.1,0,01T9N,9082,3775,3369,21.1,66.9,12,36.3,2.6,2.9,48503,109776,6.6,8,8.1,5.4,10.6,73.9,65.3,11.9,0.958949097,0.066776136,0.104485777,0.063492063,0.820960699,0.176128093,0.144827586,0.850340136,0.868479467
2016,T9S,2,T9S,4.4,7.7,1,01T9S,6898,3385,2704,18.6,64,17.5,42.8,2.5,2.8,40491,88704,9.8,13.2,16.3,8.4,10.3,70.9,64.9,8.5,0.956772334,0.073540014,0.117435159,0.063446287,0.793165468,0.208633094,0.130263158,1.151515152,0.841454545
2016,T9V,2,T9V,3.6,4.6,0,01T9V,20959,8919,7893,21.9,67.8,10.3,35.3,2.6,3,48080,103373,7.4,10.2,13.2,6.3,7,75.5,67.5,10.6,0.938076736,0.101019913,0.079893152,0.116346855,0.749683944,0.250948167,0.113713799,1.737827715,0.841689306
2016,T9W,2,T9W,3.7,3.6,0,01T9W,8062,3391,3137,19.3,66.6,14.1,37.8,2.4,2.9,44403,88619,6.7,8.2,9.4,6,7.3,75.1,70.5,6.1,0.94510582,0.072751323,0.044973545,0.081403044,0.747993579,0.253611557,0.123094959,1.257142857,0.872739451
