year,geo_code,geo_level,FSA,GNR,GNR_LF,data_quality_flag,alt_geo_code,pop_2016,num_private_dwellings,num_dwellings_occupied,pct_age_0_14,pct_age_15_64,pct_age_64_plus,median_age,avg_household_size,avg_census_family_size,median_income_recipients,median_income_household,pct_LIM_AT,pct_LIM_AT_age_under18,pct_LIM_AT_age_under6,pct_LIM_AT_age_18_64,pct_LIM_AT_age_65_plus,pct_participation_rate,pct_employed,pct_unemployed,pct_cdn_citizens,pct_immigrants,pct_aboriginal,pct_visible_minority,pct_home_owners,pct_home_rent,pct_education_none,pct_education_uni_higher,pct_non_movers,donation,avg_donation
2016,G5C,2,G5C,4.7,6.3,00000,01G5C,11771,5536,5271,14.6,65,20.4,47.2,2.1,2.7,36132,64238,11.7,13.2,12.6,10.1,16.2,61.7,56.5,8.5,0.9932249322493225,0.014905149051490514,0.04065040650406504,0.01942186088527552,0.6708133971291866,0.3291866028708134,0.15415657788539144,0.8481675392670157,0.8992707383773929,900,0.0764590943845043
2016,G5H,2,G5H,5.0,3.8,00000,01G5H,6789,3352,3127,14.6,59.6,25.8,51.5,2,2.7,28060,45152,21,18.1,18.8,18.6,29.5,54,48.9,9.5,0.9976415094339622,0.007861635220125786,0.02753737214791503,0.0031446540880503146,0.5996810207336523,0.39872408293460926,0.18947368421052632,0.5952380952380952,0.893735130848533,1400,0.20621593754603035
2016,G5J,2,G5J,2.5,4.8,00000,01G5J,6221,3031,2882,15.4,62,22.6,48.9,2.1,2.7,29344,49579,18.5,12.4,9.9,16.1,31.1,57.8,51.7,10.5,0.9975288303130149,0.004942339373970346,0.018945634266886325,0.004118616144975288,0.6428571428571429,0.3588850174216028,0.16666666666666666,0.8425925925925926,0.9100749375520399,1500,0.24111879119112684
2016,G5L,2,G5L,5.5,4.3,00000,01G5L,29258,15839,14470,11.4,61.2,27.4,51.2,1.9,2.6,30600,47360,18.2,13.6,12.7,18.7,19.8,56.4,51.6,8.5,0.9825422804146209,0.022371771553292105,0.017094017094017096,0.019639934533551555,0.5101899827288429,0.4898100172711572,0.10038474991255684,2.5958188153310107,0.8619108747478452,5500,0.18798277394216967
2016,G5M,2,G5M,2.4,2.3,00000,01G5M,8471,3657,3574,18.8,66.5,14.7,40.8,2.4,2.8,41350,76337,5.3,3.6,2.3,4.2,12.9,67.3,64.5,4.2,0.99338146811071,0.011432009626955475,0.01865222623345367,0.013838748495788207,0.7805907172995781,0.2180028129395218,0.07586933614330875,3.4166666666666665,0.8677635588056063,6100,0.72010388383898
2016,G5N,2,G5N,1.9,1.8,00000,01G5N,7969,3378,3283,17.7,68.4,13.9,43.2,2.4,2.8,40605,78256,6.2,4.1,4.2,4.8,15.4,66.9,62,7.2,0.9987515605493134,0.01435705368289638,0.018102372034956304,0.012484394506866416,0.8666666666666667,0.13333333333333333,0.07435344827586207,3.5217391304347827,0.9300567107750473,900,0.11293763332915045
2016,G5R,2,G5R,4.6,5.3,00000,01G5R,19500,9771,9070,13.7,62.1,24.2,48.3,2,2.7,32724,53120,14.3,11.4,11.5,13.5,19.2,61.4,58.2,5.2,0.988599348534202,0.01927252985884908,0.012214983713355049,0.015743756786102063,0.5545755237045203,0.4454244762954796,0.13373554550025138,1.413533834586466,0.8759604829857299,2400,0.12307692307692308
2016,G5T,2,G5T,4.4,3.5,00000,01G5T,2863,1530,1343,13.3,60.6,26,53.2,2,2.7,28053,46362,18.2,21.3,25,15.9,22.3,52.8,47.6,10,0.9927272727272727,0.02,0.020036429872495445,0.00546448087431694,0.6394052044609665,0.35687732342007433,0.2597864768683274,0.273972602739726,0.8976234003656307,400,0.13971358714635
2016,G5V,2,G5V,4.0,3.6,00000,01G5V,11255,5651,5281,12.4,60.6,27,51.5,2,2.7,29926,48804,16,11.9,13,13.4,25,58.4,55.2,5.5,0.9902957486136784,0.012476894639556377,0.011090573012939002,0.012014787430683918,0.6051136363636364,0.39488636363636365,0.19179304192685104,0.6558139534883721,0.9166278528178854,2900,0.2576632607729898
2016,G5X,2,G5X,3.4,5.0,00000,01G5X,6290,2841,2731,16.9,60.8,22.3,45.1,2.2,2.8,31895,54832,13.2,11.2,6.1,10.7,22.6,64.4,61.6,4.2,0.9884297520661157,0.015702479338842976,0.010743801652892562,0.008271298593879239,0.7051282051282052,0.2967032967032967,0.19623233908948196,0.584,0.9188963210702341,300,0.04769475357710652
